Depth,N,C,S,SiO2bio,SiO2ter,OM,MM,CaCO3,TOC,TOC_N,microcharcoal,P,Na,K,Ca,Mg,Fe,Mn,Cu,Zn ,Fe_Mn,Na_K,Cu_Zn,Ca_Fe,Fe_S,erosion,Ca_Mg,TOCS,Fe_P
2.6800,1.3391,34.3637,1.1290,0.0000,34.3654,65.6346,34.3654,0.0000,34.3637,29.9389,4118.0000,0.5831,0.3121,7.5560,11.0291,6.0013,14.8272,0.0941,34.9273,112.0833,157.6367,0.0413,0.3116,0.7438,1.3133,1.2575,1.8378,30.4362,25.4282
2.7000,1.3272,34.0482,1.0462,0.0000,35.2472,64.7528,35.2472,0.0000,33.8158,29.7261,2662.0000,0.4974,0.3086,7.9202,12.0992,6.2382,16.0195,0.0935,36.5674,119.6616,171.3194,0.0390,0.3056,0.7553,1.5312,1.1957,1.9395,32.3222,32.2045
2.7200,1.2806,34.0783,0.8845,0.0000,34.9104,65.0896,34.9104,0.0000,34.0783,31.0462,4228.0000,0.4872,0.2783,7.0292,11.7281,6.0772,13.4928,0.0973,34.9283,111.4328,138.6963,0.0396,0.3134,0.8692,1.5255,1.1412,1.9299,38.5278,27.6946
2.7400,1.2847,35.4725,1.1453,0.0000,31.8939,68.1061,31.8939,0.0000,35.3290,32.0829,2887.0000,0.3397,0.2599,6.9168,11.9731,5.3615,17.0993,0.0985,32.9039,103.7615,173.6227,0.0376,0.3171,0.7002,1.4931,1.0472,2.2332,30.8481,50.3312
2.7600,1.2934,35.8183,1.3040,0.0000,31.2288,68.7712,31.2288,0.0000,35.8183,32.3080,3331.0000,0.4231,0.2602,7.3303,11.0092,5.4439,16.2032,0.0970,30.1130,97.8298,166.9919,0.0355,0.3078,0.6794,1.2426,1.1840,2.0223,27.4689,38.2946
2.7800,1.3261,34.4562,1.2114,0.0000,33.5619,66.4381,33.5619,0.0000,34.1265,30.0234,3229.0000,0.4895,0.2582,7.6473,11.2821,5.5693,16.6806,0.0966,29.4113,100.6248,172.7387,0.0338,0.2923,0.6764,1.3770,1.1944,2.0258,28.1722,34.0756
2.8000,1.2582,33.7604,1.1438,0.0000,33.4920,66.5080,33.4920,0.0000,33.7604,31.3044,3887.0000,0.4982,0.2644,7.2202,11.6276,5.2729,16.8827,0.0912,28.3984,97.8273,185.0767,0.0366,0.2903,0.6887,1.4760,1.0972,2.2052,29.5151,33.8874
2.8200,1.2399,34.7478,1.0582,0.0000,32.3427,67.6573,32.3427,0.0000,34.3974,32.3662,3227.0000,0.4831,0.2809,7.1418,11.6326,5.4532,15.2864,0.0920,27.7301,95.9775,166.0762,0.0393,0.2889,0.7610,1.4445,1.1069,2.1332,32.5048,31.6421
2.8400,1.2431,33.8829,0.9727,0.0000,34.9449,65.0551,34.9449,0.0000,33.8829,31.8002,3662.0000,0.4981,0.3003,7.5405,11.0093,5.5594,15.4042,0.0930,27.7781,99.8298,165.5491,0.0398,0.2783,0.7147,1.5836,1.2172,1.9803,34.8323,30.9253
2.8600,1.1495,32.8647,0.9374,0.0000,35.4514,64.5486,35.4514,0.0000,32.5525,33.0396,3442.0000,0.4792,0.3138,7.3394,11.8608,5.6504,15.4473,0.0932,26.4666,100.1877,165.7838,0.0428,0.2642,0.7678,1.6478,1.1217,2.0991,34.7252,32.2354
2.8800,1.1193,33.4544,0.9871,0.0000,34.0949,65.9051,34.0949,0.0000,33.4544,34.8713,3271.0000,0.4562,0.3229,8.1221,10.2871,5.8983,14.5873,0.0959,25.3762,102.3082,152.0644,0.0398,0.2480,0.7052,1.4778,1.3943,1.7441,33.8928,31.9756
2.9000,1.0049,32.2711,0.7183,0.0000,29.7345,62.8675,37.1325,7.3980,31.8173,36.9410,3631.0000,0.4382,0.3965,8.7800,11.5532,6.2419,14.9337,0.0979,29.0153,99.1103,152.4834,0.0452,0.2928,0.7736,2.0792,1.3346,1.8509,44.2984,34.0823
2.9200,0.9793,31.7521,0.6173,0.0000,33.7577,60.9641,39.0359,5.2782,31.7521,37.8275,3123.0000,0.4198,0.3873,8.2283,11.8713,6.2198,14.5994,0.1023,25.9273,98.2873,142.6986,0.0471,0.2638,0.8131,2.3649,1.2497,1.9086,51.4352,34.7753
2.9400,0.9481,33.1079,0.6789,0.0000,34.6231,61.3449,38.6551,4.0320,32.7115,40.2515,5772.0000,0.4283,0.3980,8.0151,11.1879,6.2084,15.1724,0.1076,24.9741,96.2043,140.9692,0.0497,0.2596,0.7374,2.2348,1.3069,1.8021,48.1829,35.4269
2.9600,0.8635,34.8418,0.7226,0.0000,33.6958,65.8510,34.1490,0.4532,34.8418,47.0725,3009.0000,0.4210,0.4003,8.2294,12.0029,6.4594,15.3982,0.1022,22.3823,94.9582,150.6664,0.0486,0.2357,0.7795,2.1311,1.2571,1.8582,48.2202,36.5736
2.9800,0.8551,33.7582,0.5820,0.0000,35.0525,64.9475,35.0525,0.0000,33.3778,45.5384,3223.0000,0.4054,0.3469,8.8599,11.5171,6.3066,14.5704,0.0964,29.8572,90.0286,151.0727,0.0392,0.3316,0.7904,2.5034,1.3470,1.8262,57.3480,35.9369
3.0000,0.9616,33.9155,0.6582,0.0000,33.1864,66.8136,33.1864,0.0000,33.9155,41.1503,3771.0000,0.4109,0.3009,7.1120,12.2392,6.2193,14.5982,0.0988,27.8281,92.9385,147.7144,0.0423,0.2994,0.8384,2.2178,1.1138,1.9679,51.5256,35.5250
3.0200,1.0066,35.3638,0.6948,0.0000,22.3844,66.5096,33.4904,11.1060,34.9743,40.5353,1185.0000,0.3826,0.2977,6.9925,12.4933,5.4225,14.3548,0.1082,24.9177,97.0813,132.6295,0.0426,0.2567,0.8703,2.0661,1.0175,2.3040,50.3400,37.5212
3.0400,1.0662,36.3750,0.7811,0.0000,30.4886,68.7487,31.2513,0.7627,36.3750,39.8015,2875.0000,0.3982,0.2783,5.8728,12.0398,5.2091,13.7827,0.1020,21.9283,104.9273,135.0719,0.0474,0.2090,0.8735,1.7644,0.9436,2.3113,46.5667,34.6109
3.0600,1.1341,38.2068,1.2152,0.0000,26.7222,73.2778,26.7222,0.0000,37.7533,38.8386,2393.0000,0.4779,0.2451,5.9202,13.2848,4.5398,12.1007,0.1014,24.0057,103.2813,119.3677,0.0414,0.2324,1.0979,0.9958,0.8058,2.9263,31.0683,25.3220
3.0800,1.3262,38.4221,1.3973,0.0000,25.8453,74.1547,25.8453,0.0000,38.4221,33.7997,4235.0000,0.4239,0.2900,6.7827,10.8730,5.0291,12.3348,0.1000,23.0211,105.9273,123.3447,0.0428,0.2173,0.8815,0.8828,1.1130,2.1620,27.4983,29.0971
3.1000,1.2872,34.0478,0.8448,0.0000,30.8312,66.9548,33.0452,2.2140,33.6747,30.5213,2237.0000,0.5640,0.3028,6.3757,12.7466,4.9624,12.7056,0.0979,25.2189,115.6429,129.7904,0.0475,0.2181,1.0032,1.5039,0.9133,2.5686,39.8596,22.5267
3.1200,1.4430,34.4354,0.9344,0.0000,30.0611,67.1491,32.8509,2.7898,34.4354,27.8419,1827.0000,0.5394,0.3122,7.2210,12.7617,5.3773,13.4938,0.0998,26.7728,112.3982,135.1773,0.0432,0.2382,0.9457,1.4441,1.0117,2.3733,36.8534,25.0164
3.1400,1.4356,34.6756,0.7841,0.0000,31.8050,65.3870,34.6130,2.8080,34.3468,27.9121,2008.0000,0.5376,0.3229,7.3135,12.4885,5.5365,13.5505,0.1094,28.0574,109.6331,123.8749,0.0442,0.2559,0.9216,1.7281,1.0548,2.2556,43.8030,25.2043
3.1600,1.4501,33.7113,0.8606,0.0000,37.0898,61.0174,38.9826,1.8928,33.7113,27.1224,2008.0000,0.5003,0.3222,7.2827,12.7627,5.2292,14.5928,0.1180,28.2983,103.9483,123.6861,0.0442,0.2722,0.8746,1.6957,1.0056,2.4407,39.1721,29.1687
3.1800,1.4116,32.9386,0.7979,0.0000,33.8632,64.6608,35.3392,1.4760,32.5799,26.9276,3228.0000,0.4939,0.3313,7.4779,12.1554,5.6289,14.0116,0.1162,28.0089,107.3545,120.5421,0.0443,0.2609,0.8675,1.7560,1.1055,2.1594,40.8306,28.3713
3.2000,1.3672,33.3263,0.7948,0.0000,34.1089,65.6528,34.3472,0.2383,33.3263,28.4377,3534.0000,0.5103,0.3650,8.4503,12.7261,5.8828,13.7827,0.1189,30.4458,119.2883,115.8911,0.0432,0.2552,0.9233,1.7342,1.1550,2.1633,41.9322,27.0101
3.2200,1.3199,30.5865,0.7406,0.0000,38.4272,61.5728,38.4272,0.0000,30.1582,26.6564,4334.0000,0.5094,0.3794,8.6287,11.6803,6.2905,15.4904,0.1211,31.0554,116.7480,127.9490,0.0440,0.2660,0.7540,2.0917,1.3098,1.8568,40.7232,30.4104
